Issuer;Bond Name;Cashflow Date;Cashflow;Price
Rosneft;RU000A0JQNR8;14.06.2016;0.08;1031.887876
Rosneft;RU000A0JQNR8;13.12.2016;0.08;1031.887876
Rosneft;RU000A0JR3L0;21.10.2016;0.06;964.5290931
Rosneft;RU000A0JR3L0;21.04.2017;0.06;964.5290931
Rosneft;RU000A0JR3L0;20.10.2017;0.06;964.5290931
Rosneft;RU000A0JT965;24.10.2016;0.1;1018.985632
Rosneft;RU000A0JT965;24.04.2017;0.1;1018.985632
Rosneft;RU000A0JT965;23.10.2017;0.1;1018.985632
Rosneft;RU000A0JTM44;09.08.2016;0.12;1079.630214
Rosneft;RU000A0JTM44;07.02.2017;0.12;1079.630214
Rosneft;RU000A0JTM44;08.08.2017;0.12;1079.630214
Rosneft;RU000A0JTM44;06.02.2018;0.12;1079.630214
Rosneft;RU000A0JTMG7;11.08.2016;0.07;987.5082801
Rosneft;RU000A0JTMG7;09.02.2017;0.07;987.5082801
Rosneft;RU000A0JTMG7;10.08.2017;0.07;987.5082801
Rosneft;RU000A0JTMG7;08.02.2018;0.07;987.5082801
Rosneft;RU000A0JTTA5;28.09.2016;0.06;958.4662769
Rosneft;RU000A0JTTA5;29.03.2017;0.06;958.4662769
Rosneft;RU000A0JTTA5;27.09.2017;0.06;958.4662769
Rosneft;RU000A0JTTA5;28.03.2018;0.06;958.4662769
Rosneft;RU000A0JRMX6;14.07.2016;0.075;998.9255629
Rosneft;RU000A0JRMX6;12.01.2017;0.075;998.9255629
Rosneft;RU000A0JRMX6;13.07.2017;0.075;998.9255629
Rosneft;RU000A0JRMX6;11.01.2018;0.075;998.9255629
Rosneft;RU000A0JRMX6;12.07.2018;0.075;998.9255629
Rosneft;RU000A0JU7E1;10.10.2016;0.09;1008.535926
Rosneft;RU000A0JU7E1;10.04.2017;0.09;1008.535926
Rosneft;RU000A0JU7E1;09.10.2017;0.09;1008.535926
Rosneft;RU000A0JUFV8;16.08.2016;0.11;1080.386404
Rosneft;RU000A0JUFV8;14.02.2017;0.11;1080.386404
Rosneft;RU000A0JUFV8;15.08.2017;0.11;1080.386404
Rosneft;RU000A0JUFV8;13.02.2018;0.11;1080.386404
Rosneft;RU000A0JUFV8;14.08.2018;0.11;1080.386404
Rosneft;RU000A0JUFV8;12.02.2019;0.11;1080.386404
Rosneft;RU000A0JV1X3;09.06.2016;0.12;1095.224084
Rosneft;RU000A0JV1X3;08.12.2016;0.12;1095.224084
Rosneft;RU000A0JV1X3;08.06.2017;0.12;1095.224084
Rosneft;RU000A0JV1X3;07.12.2017;0.12;1095.224084
Rosneft;RU000A0JV235;09.06.2016;0.07;1002.172903
Rosneft;RU000A0JV235;08.12.2016;0.07;1002.172903
Rosneft;RU000A0JV235;08.06.2017;0.07;1002.172903
Rosneft;RU000A0JV235;07.12.2017;0.07;1002.172903
Rosneft;RU000A0JVEP1;18.11.2016;0.085;994.6166122
Rosneft;RU000A0JVEP1;19.05.2017;0.085;994.6166122
Rosneft;RU000A0JVEP1;17.11.2017;0.085;994.6166122
Rosneft;RU000A0JVEP1;18.05.2018;0.085;994.6166122
Rosneft;RU000A0JVEP1;16.11.2018;0.085;994.6166122
Rosneft;RU000A0JVEP1;17.05.2019;0.085;994.6166122
Rosneft;RU000A0JVEP1;15.11.2019;0.085;994.6166122
